Account_no,Admit_Date,MR_Number,Patient_Name,Social_Security_no,Age,DOB,Patient_Phone_no,Admitting_Disease,Admitting_Physician,Primary_Insurance_Policy
72645,06 / 21 / 201,99065239,roberts ,864375912,75,03 / 21 / 19,4732389403,breast disease,courtney patterson,pacific care
02487,02 / 24 / 202,54391500,robertson jeffrey,066586681,20,01 / 07 / 201 / ky,4244690173,prostate disease,christopher johnson,northern care
68907,09 / 14 / 201,39954861,kidd brandi,439968298,92,09 / 07 / 19,,retinalchemia is,monica miller,western care
99784,10 / 28 / 201,43968308,moore jason,049580467,85,10 / 08 / 19,60814677,herpes simplex,carol christopher,northern care
97824,10 / 15 / 201,72580097,jones danielle,249405537,55,03 / 13 / 191,4598473930,cancer ,combs wendy,western care
89410,12 / 07 / 201,66103393,davidson yolanda jennifer,106871289,58,09 / 11 / 191,81281,alopecia areata,jimmy small,-
03880,04 / 29 / 202,28611094,reeves brian,275389492,57,06 / 19 / 191,06,gingivitis ,bradley mcdowell,southern care
84704,03 / 14 / 201,77879406,brown stephanie,350775915,,11 / 25 / 20,9991943324,leukemia surgery,douglas estrada,eastern care
41203,10 / 02 / 201,78422297,smith brittany,857250757,96,02 / 07 / 19,001,atherosclerosis ,phillip garcia,-
61138,02 / 17 / 202,74010653,mills pi,555831834,70,07 / 21 / 19,,asthma ,jonathan parker,northern care
